ID,date,NDVI_AV,NDVI_UR
Area Urbana,2023-06-02,0.1378398162041811,0.12220164983734247
Area Urbana,2023-07-02,0.02240824575566644,0.02725420343943427
Area Urbana,2023-09-05,0.04426597687418248,0.04172420188699251
Area Urbana,2023-10-05,0.1394548057648987,0.1660279623191317
Area Urbana,2023-11-04,0.2070783340208912,0.23675826458642357
Area Urbana,2023-12-04,0.24596388836637517,0.28156791494346584
Area Urbana,2024-01-03,0.00816016903758092,0.00972089942044542
Area Urbana,2024-02-02,0.2322642080520895,0.22589014579828548
Area Urbana,2024-03-03,0.2332948521824928,0.21954401350049063
Area Urbana,2024-04-02,0.2342682146423346,0.21367472348934416
Area Urbana,2024-05-02,0.2393220257660071,0.20960891066847523
Area Urbana,2024-06-01,0.2892233803319078,0.2649462232461116
