NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
San Gregorio,2.0,0.1281,0.1214,0.1376,0.1376
Valencia Bajo,2.0,0.1496,0.1403,0.1622,0.1671
Villa Paso Hondo,2.0,0.2624,0.2231,0.2732,0.2939
Calicheros,3.0,0.1973,0.1415,0.2180,0.2163
Belloto 2000,3.0,0.1066,0.0969,0.1100,0.1073
Belloto Centro,3.0,0.1184,0.1018,0.1213,0.1213
Bernando Ohiggins,3.0,0.1314,0.1163,0.1362,0.1388
Cruz del Sur,3.0,0.1137,0.0995,0.1158,0.1141
82,3.0,0.1404,0.1286,0.1531,0.1556
Belloto Norte,3.0,0.1536,0.1363,0.1610,0.1613
E.E.U.U,3.0,0.1429,0.1241,0.1593,0.1593
Lincoyan,3.0,0.1463,0.1243,0.1502,0.1525
Los Colonos,3.0,0.2111,0.1839,0.2366,0.2414
Patricio Lynch,3.0,0.1949,0.1707,0.2111,0.2111
Santa Marta,3.0,0.1830,0.1651,0.1974,0.1974
Cantera,3.0,0.1116,0.0964,0.1135,0.1113
Decimo Sector,3.0,0.1280,0.1152,0.1370,0.1382
Estero Viejo,3.0,0.1150,0.0991,0.1191,0.1212
Matilde,3.0,0.1422,0.1248,0.1531,0.1511
San Cristobal,3.0,0.1537,0.1394,0.1590,0.1630
Tierras Rojas,3.0,0.1286,0.1199,0.1356,0.1373
Decimo Sector,3.0,0.1435,0.1294,0.1552,0.1552
Matilde,3.0,0.1460,0.1325,0.1714,0.1790
Los Pinos,3.0,0.2084,0.1647,0.2339,0.2342
Marga Marga,3.0,0.1959,0.1582,0.2088,0.2101
60,3.0,0.1423,0.1197,0.1641,0.1644
Castillo Blanco,3.0,0.1310,0.1153,0.1342,0.1328
El Tranque,3.0,0.1662,0.1430,0.1743,0.1723
Jose Miguel Carrera,3.0,0.1286,0.1040,0.1363,0.1411
Las Rosas,3.0,0.1298,0.1129,0.1335,0.1293
Piloto Pardo,3.0,0.1521,0.1322,0.1545,0.1503
Porvenir,3.0,0.2457,0.2038,0.2636,0.2646
Textil Viña,3.0,0.1104,0.0991,0.1149,0.1110
21 de Mayo,3.0,0.1651,0.1452,0.1717,0.1748
Barros Arana,3.0,0.1762,0.1541,0.1834,0.1834
La Granja,3.0,0.1639,0.1459,0.1720,0.1720
Las Viñas,3.0,0.1800,0.1614,0.1851,0.1876
Los Estanques,3.0,0.1556,0.1355,0.1626,0.1626
Mena,3.0,0.1655,0.1408,0.1671,0.1722
Pedro Montt,3.0,0.1530,0.1377,0.1555,0.1538
Victoria Oriente,3.0,0.1341,0.1193,0.1405,0.1405
Victoria Poniente,3.0,0.1515,0.1346,0.1621,0.1561
Villa Olimpica,3.0,0.1232,0.1106,0.1308,0.1284
Araya,3.0,0.1475,0.1218,0.1517,0.1527
Arturo Prat,3.0,0.1418,0.1250,0.1457,0.1418
Blanco,3.0,0.1537,0.1291,0.1627,0.1643
Centro,3.0,0.1372,0.1181,0.1407,0.1407
Colina de Oro,3.0,0.2463,0.2010,0.2656,0.2656
El Esfuerzo,3.0,0.1489,0.1258,0.1509,0.1509
Emparte,3.0,0.1000,0.0833,0.1037,0.1095
Esmeralda,3.0,0.1572,0.1435,0.1646,0.1662
Liceo,3.0,0.1457,0.1268,0.1531,0.1532
Poblacion Esperanza,3.0,0.1700,0.1466,0.1735,0.1755
Poblacion Ferroviaria,3.0,0.1658,0.1486,0.1680,0.1667
R. Sotomayor,3.0,0.1513,0.1335,0.1537,0.1537
San Cristobal2,3.0,0.1579,0.1472,0.1710,0.1710
Sol del Pacifico,3.0,0.1446,0.1251,0.1478,0.1493
Soublete (Francisco Bilbao),3.0,0.1514,0.1262,0.1562,0.1554
Thompson,3.0,0.1219,0.1038,0.1284,0.1284
M. Mena,3.0,0.1269,0.1073,0.1308,0.1291
Manuel Rodriguez,3.0,0.1234,0.1102,0.1312,0.1265
No Organizada,3.0,0.2097,0.1778,0.2311,0.2360
Pompeya Norte,3.0,0.1413,0.1301,0.1617,0.1457
Pompeya Sur,3.0,0.1573,0.1377,0.1713,0.1603
