NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Tierras Rojas,11.0,0.1566,0.1356,0.1678,-9999.0000
Decimo Sector,11.0,0.1636,0.1362,0.1969,-9999.0000
Matilde,11.0,0.1786,0.1502,0.2026,-9999.0000
Los Pinos,11.0,0.2627,0.2206,0.2884,-9999.0000
Marga Marga,11.0,0.2400,0.2015,0.2613,-9999.0000
60,11.0,0.1688,0.1412,0.1851,-9999.0000
Castillo Blanco,11.0,0.1544,0.1413,0.1709,-9999.0000
El Tranque,11.0,0.1945,0.1795,0.2258,-9999.0000
Jose Miguel Carrera,11.0,0.1645,0.1452,0.1753,-9999.0000
Las Rosas,11.0,0.1546,0.1498,0.1751,-9999.0000
Piloto Pardo,11.0,0.1781,0.1667,0.1997,-9999.0000
Porvenir,11.0,0.3123,0.2433,0.3524,-9999.0000
Textil Viña,11.0,0.1347,0.1246,0.1452,-9999.0000
21 de Mayo,11.0,0.1882,0.1772,0.2234,-9999.0000
Barros Arana,11.0,0.1969,0.1875,0.2148,-9999.0000
La Granja,11.0,0.2009,0.1885,0.2423,-9999.0000
Las Viñas,11.0,0.2149,0.1927,0.2437,-9999.0000
Los Estanques,11.0,0.1825,0.1726,0.2116,-9999.0000
Mena,11.0,0.2002,0.1782,0.2135,-9999.0000
Pedro Montt,11.0,0.1712,0.1466,0.1963,-9999.0000
Victoria Oriente,11.0,0.1618,0.1452,0.2029,-9999.0000
Victoria Poniente,11.0,0.1830,0.1697,0.2199,-9999.0000
Villa Olimpica,11.0,0.1561,0.1429,0.1727,-9999.0000
Araya,11.0,0.1797,0.1610,0.1972,-9999.0000
Arturo Prat,11.0,0.1578,0.1509,0.1650,-9999.0000
Blanco,11.0,0.1818,0.1680,0.1984,-9999.0000
Centro,11.0,0.1576,0.1477,0.1653,-9999.0000
Colina de Oro,11.0,0.3119,0.2792,0.3704,-9999.0000
El Esfuerzo,11.0,0.1774,0.1628,0.2008,-9999.0000
Emparte,11.0,0.1137,0.1090,0.1248,-9999.0000
Esmeralda,11.0,0.1872,0.1794,0.1931,-9999.0000
Liceo,11.0,0.1711,0.1668,0.1801,-9999.0000
Poblacion Esperanza,11.0,0.2029,0.1865,0.2205,-9999.0000
Poblacion Ferroviaria,11.0,0.1930,0.1728,0.2093,-9999.0000
R. Sotomayor,11.0,0.1813,0.1655,0.1979,-9999.0000
San Cristobal2,11.0,0.1984,0.1734,0.2234,-9999.0000
Sol del Pacifico,11.0,0.1702,0.1590,0.1821,-9999.0000
Soublete (Francisco Bilbao),11.0,0.1767,0.1631,0.1933,-9999.0000
Thompson,11.0,0.1484,0.1375,0.1524,-9999.0000
M. Mena,11.0,0.1598,0.1459,0.1813,-9999.0000
Manuel Rodriguez,11.0,0.1541,0.1456,0.1766,-9999.0000
No Organizada,11.0,0.2619,0.2389,0.3320,-9999.0000
Pompeya Norte,11.0,0.1895,0.1790,0.2304,-9999.0000
Pompeya Sur,11.0,0.1977,0.1877,0.2391,-9999.0000
Valencia Alto,11.0,0.1584,0.1496,0.1821,-9999.0000
Costa Sol,11.0,0.1280,0.1128,0.1545,-9999.0000
California,11.0,0.1453,0.1408,0.1531,-9999.0000
Camilo Henriquez,11.0,0.1861,0.1691,0.2089,-9999.0000
El Bosque,11.0,0.3722,0.3068,0.4155,-9999.0000
El Sol,11.0,0.2841,0.2571,0.3179,-9999.0000
General Baquedano,11.0,0.1862,0.1764,0.2017,-9999.0000
Infante,11.0,0.2762,0.2487,0.2965,-9999.0000
Lo Gamboa,11.0,0.1512,0.1418,0.1644,-9999.0000
Los Espinos,11.0,0.2515,0.2295,0.2716,-9999.0000
Retiro,11.0,0.2487,0.2258,0.2823,-9999.0000
Viñas del Sol,11.0,0.2489,0.2204,0.2665,-9999.0000
Buenos Aires,11.0,0.1974,0.1854,0.2119,-9999.0000
Casa de Valencia,11.0,0.2361,0.2189,0.2589,-9999.0000
Hevia,11.0,0.1694,0.1609,0.1875,-9999.0000
Humbolt,11.0,0.2191,0.1984,0.2440,-9999.0000
Phillips,11.0,0.1806,0.1695,0.2075,-9999.0000
Poblacion Argentina,11.0,0.2532,0.2067,0.2976,-9999.0000
Poblacion Canal Chacao,11.0,0.2650,0.2260,0.3437,-9999.0000
San Gregorio,11.0,0.1507,0.1393,0.1640,-9999.0000
Valencia Bajo,11.0,0.1860,0.1700,0.2082,-9999.0000
Villa Paso Hondo,11.0,0.3048,0.2732,0.3457,-9999.0000
Calicheros,12.0,0.2591,0.2242,0.2787,-9999.0000
Belloto 2000,12.0,0.1237,0.1160,0.1308,-9999.0000
Belloto Centro,12.0,0.1416,0.1298,0.1491,-9999.0000
Bernando Ohiggins,12.0,0.1536,0.1432,0.1638,-9999.0000
Cruz del Sur,12.0,0.1337,0.1245,0.1457,-9999.0000
82,12.0,0.1686,0.1598,0.1756,-9999.0000
Belloto Norte,12.0,0.1826,0.1661,0.1868,-9999.0000
E.E.U.U,12.0,0.1821,0.1735,0.1871,-9999.0000
Lincoyan,12.0,0.1725,0.1620,0.1839,-9999.0000
Los Colonos,12.0,0.2613,0.2415,0.2651,-9999.0000
Patricio Lynch,12.0,0.2361,0.2213,0.2414,-9999.0000
Santa Marta,12.0,0.2261,0.2162,0.2290,-9999.0000
Cantera,12.0,0.1264,0.1141,0.1339,-9999.0000
Decimo Sector,12.0,0.1468,0.1321,0.1526,-9999.0000
Estero Viejo,12.0,0.1363,0.1237,0.1450,-9999.0000
Matilde,12.0,0.1583,0.1443,0.1749,-9999.0000
San Cristobal,12.0,0.1776,0.1620,0.1825,-9999.0000
Tierras Rojas,12.0,0.1485,0.1384,0.1542,-9999.0000
Decimo Sector,12.0,0.1555,0.1398,0.1761,-9999.0000
Matilde,12.0,0.1736,0.1502,0.1854,-9999.0000
Los Pinos,12.0,0.2520,0.2334,0.2697,-9999.0000
Marga Marga,12.0,0.2296,0.2063,0.2365,-9999.0000
60,12.0,0.1649,0.1453,0.1740,-9999.0000
Castillo Blanco,12.0,0.1497,0.1381,0.1619,-9999.0000
El Tranque,12.0,0.1931,0.1753,0.2140,-9999.0000
Jose Miguel Carrera,12.0,0.1595,0.1385,0.1622,-9999.0000
Las Rosas,12.0,0.1531,0.1419,0.1685,-9999.0000
Piloto Pardo,12.0,0.1771,0.1623,0.1922,-9999.0000
Porvenir,12.0,0.2901,0.2600,0.3062,-9999.0000
Textil Viña,12.0,0.1287,0.1212,0.1384,-9999.0000
21 de Mayo,12.0,0.1971,0.1729,0.2039,-9999.0000
Barros Arana,12.0,0.2016,0.1870,0.2061,-9999.0000
La Granja,12.0,0.2003,0.1838,0.2143,-9999.0000
Las Viñas,12.0,0.2122,0.1931,0.2234,-9999.0000
Los Estanques,12.0,0.1915,0.1725,0.1952,-9999.0000
Mena,12.0,0.1961,0.1794,0.2042,-9999.0000
Pedro Montt,12.0,0.1742,0.1611,0.1861,-9999.0000
Victoria Oriente,12.0,0.1571,0.1429,0.1816,-9999.0000
Victoria Poniente,12.0,0.1813,0.1678,0.2019,-9999.0000
Villa Olimpica,12.0,0.1472,0.1408,0.1580,-9999.0000
Araya,12.0,0.1767,0.1610,0.1874,-9999.0000
Arturo Prat,12.0,0.1536,0.1504,0.1639,-9999.0000
Blanco,12.0,0.1794,0.1717,0.1911,-9999.0000
Centro,12.0,0.1543,0.1473,0.1659,-9999.0000
Colina de Oro,12.0,0.3058,0.2739,0.3204,-9999.0000
El Esfuerzo,12.0,0.1749,0.1593,0.1906,-9999.0000
Emparte,12.0,0.1046,0.1002,0.1199,-9999.0000
Esmeralda,12.0,0.1787,0.1742,0.1851,-9999.0000
Liceo,12.0,0.1662,0.1600,0.1733,-9999.0000
Poblacion Esperanza,12.0,0.2007,0.1848,0.2121,-9999.0000
Poblacion Ferroviaria,12.0,0.1876,0.1788,0.1981,-9999.0000
R. Sotomayor,12.0,0.1740,0.1681,0.1890,-9999.0000
San Cristobal2,12.0,0.1897,0.1736,0.1964,-9999.0000
Sol del Pacifico,12.0,0.1697,0.1565,0.1761,-9999.0000
Soublete (Francisco Bilbao),12.0,0.1747,0.1637,0.1833,-9999.0000
Thompson,12.0,0.1441,0.1397,0.1492,-9999.0000
M. Mena,12.0,0.1534,0.1397,0.1655,-9999.0000
Manuel Rodriguez,12.0,0.1496,0.1376,0.1591,-9999.0000
No Organizada,12.0,0.2804,0.2221,0.2907,-9999.0000
Pompeya Norte,12.0,0.1796,0.1692,0.2042,-9999.0000
Pompeya Sur,12.0,0.1868,0.1750,0.2140,-9999.0000
Valencia Alto,12.0,0.1494,0.1442,0.1666,-9999.0000
Costa Sol,12.0,0.1129,0.1050,0.1285,-9999.0000
California,12.0,0.1401,0.1349,0.1511,-9999.0000
Camilo Henriquez,12.0,0.1826,0.1669,0.1974,-9999.0000
El Bosque,12.0,0.3662,0.3296,0.3763,-9999.0000
El Sol,12.0,0.2909,0.2760,0.3049,-9999.0000
General Baquedano,12.0,0.1888,0.1775,0.1935,-9999.0000
Infante,12.0,0.2766,0.2543,0.2801,-9999.0000
Lo Gamboa,12.0,0.1460,0.1390,0.1604,-9999.0000
Los Espinos,12.0,0.2524,0.2394,0.2649,-9999.0000
Retiro,12.0,0.2567,0.2394,0.2704,-9999.0000
Viñas del Sol,12.0,0.2460,0.2246,0.2541,-9999.0000
Buenos Aires,12.0,0.1949,0.1811,0.2025,-9999.0000
Casa de Valencia,12.0,0.2331,0.2243,0.2361,-9999.0000
Hevia,12.0,0.1686,0.1567,0.1774,-9999.0000
Humbolt,12.0,0.2199,0.1973,0.2255,-9999.0000
Phillips,12.0,0.1774,0.1631,0.1902,-9999.0000
Poblacion Argentina,12.0,0.2556,0.2306,0.2767,-9999.0000
Poblacion Canal Chacao,12.0,0.2998,0.2405,0.3045,-9999.0000
San Gregorio,12.0,0.1455,0.1362,0.1556,-9999.0000
Valencia Bajo,12.0,0.1779,0.1635,0.1915,-9999.0000
Villa Paso Hondo,12.0,0.3003,0.2837,0.3126,-9999.0000
