NOMBRE,Month,LST_mean,LST_p25,LST_p75,anio_actual
Bernando Ohiggins,4.0,25.249833,23.488586,26.220202,27.030391
Cruz del Sur,4.0,25.472678,23.864463,27.021063,27.427873
82,4.0,26.160430,24.825641,27.487732,28.212702
Belloto Norte,4.0,24.384368,22.531300,25.887730,26.285543
E.E.U.U,4.0,24.826674,23.710709,26.671408,26.460867
Lincoyan,4.0,24.887330,23.267096,26.259647,26.844164
Los Colonos,4.0,24.299106,23.123267,25.639463,25.734223
Patricio Lynch,4.0,25.209799,23.957114,26.834423,26.722422
Santa Marta,4.0,25.359430,24.112632,27.051431,26.767965
Cantera,4.0,25.420818,24.153501,27.066200,27.384659
Decimo Sector,4.0,24.308032,23.421963,26.261304,26.242432
Estero Viejo,4.0,24.901131,23.484626,26.343696,26.914454
Matilde,4.0,24.975734,23.618735,26.693651,26.173253
San Cristobal,4.0,24.812583,23.839123,26.248029,26.172404
Tierras Rojas,4.0,25.011828,23.569055,26.412234,26.901655
Decimo Sector,4.0,25.324453,23.867762,26.803329,25.857914
Matilde,4.0,25.272717,23.863719,26.791473,25.946672
Los Pinos,4.0,23.522135,22.077875,24.829379,24.889468
Marga Marga,4.0,23.786036,22.003140,25.120347,25.482769
60,4.0,25.077190,23.747717,26.525366,25.843523
Castillo Blanco,4.0,25.215389,23.383538,26.479381,27.030037
El Tranque,4.0,24.920680,22.922793,26.250637,26.688843
Jose Miguel Carrera,4.0,25.081262,23.376242,26.609839,26.873193
Las Rosas,4.0,24.704140,22.445685,26.080697,26.344115
Piloto Pardo,4.0,24.548145,22.533693,25.980102,26.226719
Porvenir,4.0,23.319031,21.786315,24.754148,24.819913
Textil Viña,4.0,25.060365,23.206489,26.475221,26.568533
21 de Mayo,4.0,25.304967,22.908485,26.458971,25.955025
Barros Arana,4.0,25.656830,22.793281,26.298776,26.288384
La Granja,4.0,25.665991,24.060731,26.763195,26.290307
Las Viñas,4.0,25.256568,23.972358,26.037736,25.922665
Los Estanques,4.0,24.920515,23.351241,26.148963,25.565143
Mena,4.0,25.250842,22.856527,26.183967,26.166451
Pedro Montt,4.0,25.381887,23.075075,26.250713,25.933741
Victoria Oriente,4.0,25.895038,24.615410,27.448267,26.984610
Victoria Poniente,4.0,24.943779,23.852188,26.170528,25.974141
Villa Olimpica,4.0,25.776827,24.757359,27.108461,27.027755
Araya,4.0,24.937202,22.747080,26.068448,26.421292
Arturo Prat,4.0,25.041068,22.578419,25.837385,25.744287
Blanco,4.0,24.952236,22.132882,25.926214,26.032091
Centro,4.0,25.217283,23.057251,25.926322,25.606599
Colina de Oro,4.0,22.648841,20.819590,24.003671,24.086311
El Esfuerzo,4.0,24.651623,22.415031,25.555588,26.244656
Emparte,4.0,24.924984,22.093437,26.295528,25.920072
Esmeralda,4.0,24.553648,21.999286,25.273380,25.030171
Liceo,4.0,25.119437,22.407045,25.854522,26.090284
Poblacion Esperanza,4.0,24.413887,22.044705,25.365100,26.059040
Poblacion Ferroviaria,4.0,25.286561,24.088107,26.515929,27.106077
R. Sotomayor,4.0,25.056665,22.806445,26.090848,26.452927
San Cristobal2,4.0,25.602336,23.998805,27.072266,27.509416
Sol del Pacifico,4.0,24.821546,22.891201,25.672586,26.555108
Soublete (Francisco Bilbao),4.0,24.737265,22.461132,26.020834,26.254271
Thompson,4.0,25.694910,22.511521,26.190986,25.837364
M. Mena,4.0,24.661431,22.861690,25.661486,25.516382
Manuel Rodriguez,4.0,25.292033,23.638718,26.446955,25.691916
No Organizada,4.0,23.852237,22.391129,25.265808,23.779806
Pompeya Norte,4.0,23.585215,21.704087,24.948638,23.627941
Pompeya Sur,4.0,24.211769,22.879596,25.594474,24.128420
Valencia Alto,4.0,24.639444,23.081419,26.108366,24.708268
Costa Sol,4.0,23.822989,22.523224,25.867697,22.637105
California,4.0,24.889054,23.528098,26.289130,26.606742
Camilo Henriquez,4.0,24.168116,22.912436,25.572270,26.085805
El Bosque,4.0,23.325300,21.972857,24.659891,24.851937
El Sol,4.0,24.206846,22.542175,25.544021,25.646399
General Baquedano,4.0,24.548113,22.287641,25.879420,26.029930
Infante,4.0,24.006490,22.036266,25.052251,24.699697
Lo Gamboa,4.0,25.744915,23.714953,27.170960,27.430069
Los Espinos,4.0,23.455621,21.580785,24.546360,24.954300
Retiro,4.0,23.899512,21.938268,24.942162,24.894667
Viñas del Sol,4.0,23.603464,21.913792,24.675214,25.345599
Buenos Aires,4.0,24.800699,22.678616,25.960008,25.598370
Casa de Valencia,4.0,24.053963,21.774676,25.464166,24.728341
Hevia,4.0,25.237072,23.190919,26.839189,25.726996
Humbolt,4.0,24.854332,22.511826,26.137458,25.419070
Phillips,4.0,25.012771,23.057935,26.330933,25.896613
Poblacion Argentina,4.0,22.778801,21.196360,24.371625,22.273085
Poblacion Canal Chacao,4.0,24.510682,23.629847,25.839619,25.719475
San Gregorio,4.0,25.301618,23.511128,26.927119,25.749574
Valencia Bajo,4.0,25.219826,23.064041,26.745442,25.804642
Villa Paso Hondo,4.0,22.156941,21.047906,23.803726,22.933785
Calicheros,5.0,16.279824,15.215507,17.386459,-9999.000000
Belloto 2000,5.0,17.075463,15.890879,18.986316,-9999.000000
Belloto Centro,5.0,17.010468,15.852788,18.680753,-9999.000000
Bernando Ohiggins,5.0,16.495234,15.433731,18.111661,-9999.000000
Cruz del Sur,5.0,16.698057,15.718737,18.627638,-9999.000000
82,5.0,17.509570,16.376286,19.792923,-9999.000000
Belloto Norte,5.0,15.495440,14.747416,17.781097,-9999.000000
E.E.U.U,5.0,16.266971,14.947547,18.010918,-9999.000000
Lincoyan,5.0,16.156900,15.003730,18.319914,-9999.000000
Los Colonos,5.0,16.404333,14.815332,17.700217,-9999.000000
Patricio Lynch,5.0,16.153610,15.461991,18.516693,-9999.000000
Santa Marta,5.0,16.405236,15.251949,18.495621,-9999.000000
Cantera,5.0,16.841654,16.105835,18.744544,-9999.000000
Decimo Sector,5.0,16.289237,15.053976,18.015762,-9999.000000
Estero Viejo,5.0,16.172404,15.357284,18.445335,-9999.000000
Matilde,5.0,16.435907,15.460693,18.362873,-9999.000000
San Cristobal,5.0,16.456971,15.541360,18.583316,-9999.000000
Tierras Rojas,5.0,16.491608,15.519073,17.973282,-9999.000000
Decimo Sector,5.0,16.665197,15.119953,18.496348,-9999.000000
Matilde,5.0,16.325596,15.505072,19.121914,-9999.000000
Los Pinos,5.0,15.605158,14.654122,17.650402,-9999.000000
Marga Marga,5.0,15.855065,14.806065,18.002264,-9999.000000
60,5.0,16.224101,15.096872,18.894984,-9999.000000
Castillo Blanco,5.0,16.305469,15.729800,18.344054,-9999.000000
El Tranque,5.0,16.392986,15.759146,18.452325,-9999.000000
Jose Miguel Carrera,5.0,16.555329,15.740227,18.431966,-9999.000000
Las Rosas,5.0,16.376112,15.298988,18.056906,-9999.000000
Piloto Pardo,5.0,16.000702,15.324220,17.958811,-9999.000000
Porvenir,5.0,15.421249,14.409642,17.648106,-9999.000000
